INFO 2025-03-13 07:24:36,797 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-13 07:24:36,797 autoreload Waiting for apps ready_event.
DEBUG 2025-03-13 07:24:36,886 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-13 07:24:36,901 autoreload Watching dir /home/ubox48/code/django_serializers/loginapplication/templates with glob **/*.
DEBUG 2025-03-13 07:24:36,901 autoreload Watching dir /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-03-13 07:24:36,902 autoreload Watching dir /home/ubox48/code/django_serializers/app1/templates with glob **/*.
DEBUG 2025-03-13 07:24:36,902 autoreload Watching dir /home/ubox48/code/django_serializers/locale with glob **/*.mo.
DEBUG 2025-03-13 07:24:36,902 autoreload Watching dir /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-03-13 07:24:36,902 autoreload Watching dir /home/ubox48/code/django_serializers/app1/locale with glob **/*.mo.
DEBUG 2025-03-13 07:24:36,903 autoreload Watching dir /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-03-13 07:24:36,903 autoreload Watching dir /home/ubox48/code/django_serializers/loginapplication/locale with glob **/*.mo.
DEBUG 2025-03-13 07:24:36,903 autoreload Watching dir /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2025-03-13 07:24:36,940 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-03-13 07:24:36,944 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-13 07:24:37,003 autoreload File /usr/lib/python3.10/lib-dynload/_sqlite3.cpython-310-x86_64-linux-gnu.so first seen with mtime 1737124534.0
DEBUG 2025-03-13 07:24:37,003 autoreload File /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/django/db/backends/base/schema.py first seen with mtime 1710493789.8823838
DEBUG 2025-03-13 07:24:37,003 autoreload File /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/sqlparse/engine/__init__.py first seen with mtime 1710493789.1463244
DEBUG 2025-03-13 07:24:37,003 autoreload File /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/django/forms/renderers.py first seen with mtime 1710493789.910386
DEBUG 2025-03-13 07:24:37,003 autoreload File /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/rest_framework/apps.py first seen with mtime 1710499312.238276
DEBUG 2025-03-13 07:24:37,003 autoreload File /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1710493789.8623822
DEBUG 2025-03-13 07:24:37,003 autoreload File /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/requests/utils.py first seen with mtime 1712226848.738015
DEBUG 2025-03-13 07:24:37,003 autoreload File /home/ubox48/code/django_serializers/.venv/lib/python3.10/site-packages/urllib3/connectionpool.py first seen with mtime 1712226848.4180236
